Read more,Lire la suite
%1 Comment(s),%1 Commentaire(s)
Add a comment...,Ajouter un commentaire...
Sign in to post a comment/ Leave a reply,Connectez-vous pour poster un commentaire/ Laisser une réponse
Full Name,Nom complet
Email,Courriel
Submit,Soumettre
Sign In,SE CONNECTER
Load more comments,Charger plus de commentaires
Leave a reply,Laissez une réponse
Cancel,Annuler
Related Posts,Postes connexes
Read More,Lire la suite
Careshop,Careshop
Recent Posts,Articles récents
Explore products that are being developed and improved,Explorez les produits en cours de développement et d'amélioration
Develop This Product,Développer ce produit
Visit Our Lab,Visitez notre laboratoire
No options are available for this products,Aucune option n'est disponible pour ce produit
We can't find products matching the selection.,Nous ne trouvons pas de produits correspondant à la sélection.
Special Deal,Offre spéciale
Instead of,Au lieu de
Out Of Stock,Rupture de stock
Learn More,En savoir plus
Related Products,Produits connexes
We found other products you might like!,Nous avons trouvé d'autres produits qui pourraient vous plaire !
More Choices:,Plus de choix :
Customers Who Bought This Item Also Bought,Les clients qui ont acheté cet article ont également acheté
New Products,Nouveaux produits
Add to cart,Ajouter au panier
Check items and add to the cart or,Vérifiez les articles et ajoutez-les au panier ou
Select all,Sélectionner tout
Add to Cart,Ajouter au panier
Qty,Qté
Optional,Optionnel
Not Available,Non disponible
Next,Suivant
Prev,Prev
Included in Product Set,Inclus Dans Le Set Du Produit
Learn More About Product,En savoir plus sur le produit
Total value,Valeur totale
Show More,Afficher plus
Show Less,Montrer moins
Improve This Product,Améliorer ce produit
Jacket,Veste
Pant,Pantalon
Boxer,Boxer
Backpack,Sac à dos
You save,Vous économisez
Size Chart,Tableau des tailles
Shopping Cart Items,Articles du panier
Item,Article
Price,Prix
Subtotal,Sous-total
Continue Shopping,Continuer les achats
Clear Shopping Cart,Effacer le panier
Update Shopping Cart,Mettre à jour le panier d'achat
See price before order confirmation.,Voir le prix avant la confirmation de la commande.
What's this?,Qu'est-ce que c'est ?
Your Cart,Votre panier
* Required Fields,* Champs obligatoires
Contact Information,Informations sur le contact
Address,Adresse
Street Address %1,Adresse de la rue %1
City,Ville
Please select a region,Veuillez sélectionner une région
Default billing address,Adresse de facturation par défaut
Use as my default billing address,Utiliser comme mon adresse de facturation par défaut
Default shipping address,Adresse d'expédition par défaut
Use as my default shipping address,Utiliser comme adresse d'expédition par défaut
Save Address,Enregistrer l'adresse
Go back,Retourner
My Account,Mon compte
Sign in,SE CONNECTER
Sign up,S'INSCRIRE
Forgot Your Password?,Vous avez oublié votre mot de passe ?
Please enter your email address below to receive a password reset link.,Veuillez saisir votre adresse e-mail ci-dessous pour recevoir un lien de réinitialisation du mot de passe.
Already have an account? Sign in here with your email address.,Vous avez déjà un compte ? Connectez-vous ici avec votre adresse e-mail.
